Age,Gender,Purchase Amount (USD),Review Rating,Subscription Status,Discount Applied,Previous Purchases,Item Purchased,Category,Location,Size,Color,Season,Payment Method,Shipping Type,Preferred Payment Method,Frequency of Purchases
58,1,29,3.6,1,1,26,18,0,33,2,0,0,0,0,1,5
32,1,33,3.0,1,1,40,19,1,9,0,4,0,0,0,0,2
46,1,32,4.5,1,1,34,23,0,47,2,18,1,0,4,0,2
39,1,56,2.9,1,1,31,0,0,21,1,9,1,2,3,2,0
19,1,94,3.3,1,1,1,16,1,8,1,16,0,1,4,0,0
50,1,53,3.1,1,1,5,8,0,2,0,15,0,1,0,0,0
36,1,82,4.4,1,1,4,1,0,46,0,11,0,4,2,1,5
65,1,70,3.0,1,1,48,3,2,12,2,0,0,4,1,4,4
64,1,76,3.9,1,1,29,7,0,42,0,6,0,1,1,0,1
46,1,29,2.9,1,1,12,16,1,25,0,20,1,4,0,3,0
36,1,100,3.0,1,1,29,0,0,32,1,18,0,3,3,4,0
51,1,94,3.1,1,1,15,0,0,23,0,12,0,4,0,2,4
51,1,25,4.3,1,1,34,9,2,30,0,10,0,1,1,1,3
38,1,88,3.9,1,1,41,2,1,45,0,9,1,0,2,1,2
59,1,78,3.2,1,1,41,14,0,38,0,0,0,2,0,1,3
57,1,45,4.8,1,1,39,11,0,42,0,20,2,0,3,1,2
54,1,73,3.8,1,1,32,7,0,10,2,7,1,2,0,0,5
25,1,61,3.3,1,1,29,4,0,36,1,19,1,3,2,4,3
69,1,22,4.3,1,1,15,1,0,23,1,0,0,0,1,0,0
57,1,38,2.7,1,1,33,7,0,25,0,10,0,0,0,4,0
70,1,38,3.2,1,1,18,14,0,12,1,23,0,3,2,0,5
24,1,100,4.0,1,1,35,19,1,1,0,23,0,3,4,0,0
67,1,64,3.0,1,1,25,15,0,9,0,18,2,0,3,3,5
24,1,55,4.2,1,1,6,23,0,47,0,18,1,4,1,4,2
62,1,91,2.9,1,1,17,5,0,37,0,18,1,4,0,0,0
57,1,38,4.1,1,1,17,18,0,47,0,5,0,0,4,1,3
55,1,97,3.2,1,1,44,13,1,21,1,12,2,0,4,0,1
45,1,22,3.0,1,1,6,9,2,43,0,19,0,4,0,3,2
69,1,92,4.2,1,1,45,18,0,39,0,11,0,4,0,2,2
67,1,84,4.2,1,1,7,6,0,44,0,1,0,4,0,2,0
30,1,93,4.4,1,1,11,6,0,26,0,14,0,0,4,2,1
24,1,50,4.2,1,1,41,9,2,9,0,1,1,0,2,0,1
62,1,64,2.8,1,1,24,14,0,28,1,13,0,0,0,3,0
43,1,61,3.7,1,1,21,17,0,19,0,23,0,0,1,4,5
35,1,48,3.5,1,1,24,21,0,34,0,16,2,4,2,0,0
28,1,45,2.9,1,1,8,23,0,3,1,10,0,1,4,1,4
32,1,88,3.0,1,1,12,0,0,26,0,4,0,4,1,0,2
39,1,57,3.7,1,1,48,19,1,1,1,8,0,2,0,2,2
28,1,68,4.4,1,1,6,7,0,31,2,10,1,2,4,0,4
47,1,94,4.5,1,1,14,5,0,30,2,6,0,4,0,3,2
20,1,41,4.8,1,1,34,12,0,48,0,20,0,4,1,3,0
63,1,83,2.9,1,1,12,20,0,39,1,0,1,3,1,0,1
25,1,22,3.2,1,1,11,9,2,2,0,12,0,2,2,0,0
29,1,74,3.3,1,1,5,16,1,41,0,21,0,0,1,3,3
50,1,90,4.2,1,1,25,10,0,37,0,20,2,4,3,4,2
18,1,79,2.9,1,1,11,20,0,27,0,22,0,1,4,1,0
70,1,28,4.6,1,1,27,13,1,33,1,18,0,0,2,3,1
66,1,88,4.1,1,1,43,14,0,42,0,12,0,4,3,1,0
28,1,26,3.1,1,1,18,1,0,40,0,1,0,0,0,2,1
54,1,27,4.2,1,1,32,11,0,9,0,16,2,0,0,0,0
19,1,83,4.5,1,1,27,22,0,1,2,23,0,3,2,0,1
20,1,39,3.7,1,1,24,5,0,39,1,18,1,3,2,1,5
43,1,89,3.7,1,1,31,21,0,28,0,4,2,0,1,2,4
38,1,68,3.4,1,1,39,3,2,32,0,7,2,2,2,3,2
50,1,90,3.0,1,1,36,4,0,13,0,0,1,4,4,2,2
64,1,34,4.2,1,1,5,18,0,33,0,14,0,2,1,0,0
49,1,51,2.9,1,1,47,12,0,43,0,23,1,3,0,1,0
47,1,45,3.5,1,1,29,22,0,24,2,20,2,1,1,0,2
36,1,88,4.1,1,1,43,8,0,6,0,14,2,3,1,4,0
55,1,85,4.3,1,1,40,3,2,30,0,6,1,1,4,2,1
25,1,100,2.8,1,1,4,11,0,15,0,12,2,1,0,2,3
53,1,42,4.9,1,1,39,0,0,35,1,8,0,2,0,3,5
49,1,53,3.3,1,1,45,13,1,37,0,3,1,0,2,4,2
35,1,86,3.2,1,1,20,21,0,26,2,0,0,1,0,4,0
29,1,66,4.4,1,1,14,22,0,24,2,2,0,1,3,2,5
47,1,100,4.8,1,1,33,0,0,36,0,1,2,4,0,3,5
53,1,47,4.2,1,1,18,6,0,0,1,19,0,0,3,1,0
33,1,25,4.0,1,1,9,18,0,22,0,0,0,2,0,0,5
21,1,51,2.5,1,1,34,6,0,48,2,5,2,3,3,3,0
32,1,41,3.9,1,1,33,17,0,6,0,21,1,0,1,4,2
52,1,73,4.9,1,1,15,2,1,34,0,4,2,3,0,0,0
67,1,42,3.5,1,1,4,21,0,12,0,22,2,1,4,3,0
43,1,20,4.2,1,1,25,14,0,18,0,3,0,2,1,2,0
58,1,30,4.7,1,1,20,11,0,39,2,21,0,4,0,1,1
20,1,53,4.5,1,1,5,6,0,46,0,17,1,3,0,1,4
61,1,74,2.8,1,1,16,5,0,0,1,9,0,4,0,0,4
32,1,57,2.9,1,1,13,10,0,16,0,5,0,1,3,2,0
38,1,57,3.2,1,1,11,7,0,24,1,17,2,0,0,1,1
21,1,77,4.9,1,1,21,10,0,3,0,10,2,0,3,1,0
37,1,40,3.7,1,1,6,12,0,9,0,19,1,0,2,2,0
27,1,46,4.3,1,1,29,17,0,13,0,16,1,1,4,4,3
36,1,78,3.9,1,1,15,12,0,4,1,3,0,4,4,0,0
32,1,59,3.2,1,1,17,0,0,20,0,6,0,4,0,0,0
51,1,75,3.1,1,1,32,11,0,16,0,22,1,0,0,1,5
64,1,54,3.9,1,1,42,22,0,18,0,12,0,4,0,4,0
68,1,42,2.6,1,1,21,16,1,8,0,3,0,4,4,0,3
68,1,44,3.3,1,1,9,1,0,8,0,3,2,3,2,0,0
33,1,52,4.6,1,1,16,10,0,32,2,13,0,2,1,0,0
65,1,69,4.6,1,1,42,21,0,18,2,23,1,1,0,1,2
48,1,26,4.4,1,1,37,11,0,35,0,0,1,3,0,2,0
69,1,33,4.2,1,1,32,3,2,32,1,18,0,0,0,2,4
59,1,32,3.0,1,1,28,11,0,18,0,8,0,1,0,0,0
48,1,85,4.0,1,1,13,0,0,44,2,9,2,2,0,1,5
25,1,30,3.5,1,1,11,18,0,39,2,20,0,2,0,0,2
29,1,29,3.0,1,1,36,15,0,8,0,7,2,1,4,0,0
57,1,95,3.7,1,1,23,22,0,9,0,13,0,0,0,2,0
23,1,69,4.0,1,1,37,19,1,2,0,20,1,1,3,0,3
45,1,69,4.2,1,1,21,13,1,24,1,4,0,2,0,0,0
38,1,61,2.5,1,1,22,0,0,34,2,3,0,0,3,2,0
21,1,94,3.0,1,1,9,18,0,21,0,19,1,2,0,0,3
32,1,30,3.2,1,1,16,22,0,24,1,11,0,2,2,4,0
63,1,45,3.5,1,1,4,18,0,33,0,17,1,3,3,3,4
29,1,39,4.8,1,1,3,6,0,15,2,23,1,1,0,2,0
27,1,51,2.6,1,1,6,11,0,25,0,6,1,0,4,2,0
56,1,37,3.4,1,1,18,14,0,6,0,1,0,0,0,4,2
30,1,62,3.7,1,1,34,23,0,31,0,9,2,1,0,4,0
49,1,85,4.5,1,1,26,3,2,30,0,23,0,2,0,1,3
58,1,33,3.7,1,1,50,23,0,4,0,8,2,0,3,3,5
57,1,26,3.3,1,1,40,4,0,6,2,21,0,1,2,0,3
60,1,99,4.7,1,1,24,16,1,42,0,7,0,1,1,0,4
69,1,39,2.7,1,1,33,6,0,5,0,22,0,3,0,3,0
70,1,20,4.6,1,1,19,18,0,28,0,5,0,0,4,1,1
53,1,42,2.7,1,1,24,21,0,46,0,8,2,4,4,1,4
25,1,74,4.8,1,1,19,13,1,12,1,9,0,3,0,1,5
48,1,26,4.4,1,1,4,16,1,6,2,16,1,0,3,1,0
69,1,53,4.0,1,1,11,23,0,18,0,9,2,0,3,4,1
25,1,80,3.2,1,1,28,19,1,36,0,11,1,1,2,3,2
29,1,98,4.4,1,1,24,7,0,13,0,19,0,0,4,3,5
46,1,95,3.8,1,1,25,18,0,36,0,7,0,2,3,1,1
37,1,44,3.6,1,1,27,22,0,6,0,12,1,4,0,0,1
20,1,60,3.3,1,1,49,13,1,35,0,20,1,0,2,4,5
40,1,84,3.4,1,1,45,4,0,35,0,7,2,4,2,1,0
60,1,59,3.5,1,1,26,22,0,42,0,19,0,2,0,3,0
26,1,49,3.6,1,1,4,9,2,32,1,22,1,2,0,0,0
29,1,32,3.2,1,1,3,5,0,7,0,13,2,0,1,1,1
66,1,29,3.7,1,1,45,6,0,18,0,0,0,0,3,4,0
66,1,22,4.5,1,1,21,4,0,21,0,23,0,0,3,0,2
56,1,85,4.6,1,1,50,12,0,24,0,3,2,2,3,0,2
69,1,52,4.1,1,1,19,10,0,37,0,18,2,2,4,0,3
38,1,89,3.4,1,1,6,12,0,19,0,7,0,0,2,3,0
42,1,77,3.7,1,1,50,4,0,43,0,15,0,3,0,1,1
30,1,24,3.3,1,1,17,12,0,28,0,16,1,3,4,2,1
66,1,24,4.5,1,1,24,11,0,47,2,13,0,4,0,2,0
36,1,22,3.3,1,1,46,6,0,3,0,3,0,0,1,4,3
58,1,82,4.3,1,1,42,22,0,46,0,19,0,0,3,0,1
45,1,67,2.5,1,1,10,0,0,39,0,0,2,3,3,0,0
47,1,74,2.6,1,1,1,17,0,17,2,22,0,4,3,0,1
66,1,72,4.9,1,1,28,11,0,14,0,22,1,3,3,2,4
41,1,36,4.7,1,1,48,19,1,43,0,13,1,1,1,2,4
41,1,95,3.0,1,1,47,0,0,40,1,4,2,1,3,1,3
66,1,78,3.5,1,1,29,8,0,40,0,13,2,4,2,3,0
37,1,82,4.8,1,1,37,15,0,48,0,12,1,1,3,4,4
70,1,70,4.3,1,1,38,12,0,43,0,3,2,2,1,2,0
62,1,41,3.2,1,1,48,14,0,28,0,22,0,0,4,0,5
61,1,42,3.1,1,1,36,3,2,13,0,19,1,3,1,3,5
48,1,50,2.8,1,1,9,3,2,7,0,23,0,2,1,1,5
70,1,31,2.9,1,1,34,20,0,26,1,22,1,2,0,0,3
46,1,51,3.7,1,1,43,22,0,32,0,0,2,0,0,4,0
31,1,98,3.3,1,1,46,15,0,7,0,0,0,1,4,3,4
19,1,86,2.8,1,1,5,15,0,30,0,11,2,0,0,1,3
39,1,64,4.5,1,1,15,22,0,0,0,19,2,0,3,0,0
41,1,46,2.6,1,1,30,1,0,14,0,9,0,3,2,1,0
20,1,85,3.7,1,1,44,22,0,35,0,11,0,0,3,4,1
36,1,81,4.4,1,1,16,7,0,37,1,13,0,2,0,3,0
32,1,59,4.3,1,1,16,22,0,29,0,4,2,0,0,0,0
69,1,79,3.5,1,1,16,8,0,19,0,18,2,4,0,0,5
40,1,33,3.8,1,1,21,17,0,36,0,19,0,1,0,1,1
40,1,47,3.5,1,1,39,17,0,28,0,1,1,0,0,4,1
20,1,20,4.6,1,1,40,7,0,42,1,1,1,1,4,2,0
64,1,36,2.6,1,1,48,3,2,15,0,12,0,0,2,1,1
27,1,39,4.4,1,1,26,13,1,25,0,16,1,0,2,4,3
24,1,71,4.0,1,1,46,18,0,44,0,3,2,3,3,2,3
48,1,59,4.4,1,1,27,16,1,48,1,12,2,0,2,0,0
49,1,50,4.7,1,1,5,10,0,29,0,21,0,1,2,0,5
36,1,41,3.9,1,1,43,13,1,35,0,17,0,1,4,3,2
56,1,59,2.7,1,1,17,1,0,38,0,0,0,0,1,3,2
37,1,87,3.7,1,1,3,7,0,1,0,7,2,0,0,0,0
42,1,68,2.6,1,1,47,22,0,15,0,21,0,4,0,0,2
28,1,90,3.9,1,1,24,18,0,30,0,19,2,0,3,2,0
27,1,71,4.9,1,1,12,10,0,41,2,23,0,4,2,0,1
63,1,64,4.1,1,1,35,19,1,23,0,23,0,1,4,2,3
58,1,76,3.0,1,1,42,11,0,36,1,12,0,3,1,4,5
37,1,42,4.1,1,1,1,11,0,35,2,10,0,1,0,3,1
56,1,80,3.8,1,1,27,12,0,26,0,0,0,2,3,0,5
18,1,56,4.0,1,1,16,0,0,2,0,12,0,0,3,1,0
48,1,25,3.6,1,1,36,7,0,21,2,10,1,2,0,1,1
31,1,74,3.0,1,1,30,19,1,8,0,12,2,2,4,1,1
51,1,30,3.0,1,1,18,12,0,37,0,19,1,0,3,2,2
65,1,96,2.6,1,1,45,23,0,26,0,22,0,0,1,0,0
53,1,64,3.4,1,1,1,19,1,41,0,3,0,0,1,4,2
55,1,88,3.1,1,1,42,17,0,7,0,23,2,0,1,0,2
62,1,88,3.0,1,1,7,16,1,32,0,3,1,2,1,4,1
55,1,88,3.7,1,1,50,5,0,46,2,6,1,3,3,3,4
64,1,36,3.5,1,1,37,20,0,25,0,20,0,0,4,4,2
52,1,40,2.8,1,1,18,4,0,40,2,4,0,1,4,0,3
24,1,39,4.5,1,1,29,6,0,34,0,3,0,4,3,0,3
38,1,40,3.3,1,1,45,0,0,47,0,18,1,0,4,3,4
59,1,34,3.4,1,1,13,14,0,35,0,12,2,1,0,3,5
27,1,83,3.2,1,1,47,19,1,31,1,15,2,0,0,3,3
24,1,85,3.7,1,1,7,22,0,36,0,13,1,1,3,2,5
23,1,27,4.6,1,1,11,3,2,32,0,22,1,0,0,4,0
69,1,78,5.0,1,1,39,11,0,33,1,16,0,0,4,0,3
59,1,32,4.4,1,1,6,21,0,34,0,12,1,2,3,2,4
51,1,51,4.9,1,1,2,16,1,38,1,6,0,3,0,4,0
63,1,32,4.1,1,1,39,14,0,17,0,18,0,2,3,1,1
54,1,62,4.9,1,1,23,4,0,26,0,13,2,0,2,1,3
32,1,29,4.7,1,1,46,23,0,24,1,10,0,2,0,2,0
39,1,69,3.0,1,1,19,0,0,27,2,0,0,3,4,0,5
66,1,25,3.4,1,1,3,11,0,17,0,9,2,2,4,1,1
28,1,76,3.2,1,1,47,10,0,3,0,14,2,3,4,3,4
